Methodology,Mean Sensitivity (+/- SE),Mean FDR (+/- SE),Sample Size Per Condition,Fold-Change,Distribution
CSS Wilcox,0,0,15,1.5,Negative Binomial
CSS Wilcox,0,0,25,1.5,Negative Binomial
CSS Wilcox,0.005 +/- (0.009),0,50,1.5,Negative Binomial
CSS Wilcox,0.06 +/- (0.047),0,100,1.5,Negative Binomial
CSS Wilcox,0.09 +/- (0.057),0,150,1.5,Negative Binomial
CSS Wilcox,0,0,5,1.5,Beta-Binomial
CSS Wilcox,0,0,15,1.5,Beta-Binomial
CSS Wilcox,0,0,25,1.5,Beta-Binomial
CSS Wilcox,0,0,50,1.5,Beta-Binomial
CSS Wilcox,0,0,100,1.5,Beta-Binomial
CSS Wilcox,0 +/- (0.002),0,150,1.5,Beta-Binomial
RANK T-test,0.176 +/- (0.053),0,50,3,Negative Binomial
RANK T-test,0.235 +/- (0.043),0.018 +/- (0.03),50,5,Negative Binomial
RANK T-test,0.233 +/- (0.039),0.011 +/- (0.036),100,3,Negative Binomial
RANK T-test,0.273 +/- (0.049),0.096 +/- (0.148),100,5,Negative Binomial
RANK T-test,0.244 +/- (0.031),0.035 +/- (0.075),150,3,Negative Binomial
RANK T-test,0.354 +/- (0.061),0.217 +/- (0.183),150,5,Negative Binomial
RANK T-test,0.006 +/- (0.01),0,50,3,Beta-Binomial
RANK T-test,0.082 +/- (0.038),0.004 +/- (0.02),50,5,Beta-Binomial
RANK T-test,0.051 +/- (0.025),0,100,3,Beta-Binomial
RANK T-test,0.3 +/- (0.05),0.025 +/- (0.028),100,5,Beta-Binomial
RANK T-test,0.154 +/- (0.04),0.004 +/- (0.015),150,3,Beta-Binomial
RANK T-test,0.526 +/- (0.036),0.048 +/- (0.034),150,5,Beta-Binomial
RANK T-test,0,0,5,3,Beta-Binomial
RANK T-test,0 +/- (0.002),0,5,5,Beta-Binomial
RANK T-test,0,0,15,3,Beta-Binomial
RANK T-test,0,0,15,5,Beta-Binomial
RANK T-test,0 +/- (0.002),0,25,3,Beta-Binomial
RANK T-test,0.004 +/- (0.009),0,25,5,Beta-Binomial
RANK T-test,0,0,5,3,Negative Binomial
RANK T-test,0 +/- (0.002),0,5,5,Negative Binomial
RANK T-test,0.004 +/- (0.008),0,15,3,Negative Binomial
RANK T-test,0.04 +/- (0.035),0,15,5,Negative Binomial
RANK T-test,0.016 +/- (0.023),0,25,3,Negative Binomial
RANK T-test,0.149 +/- (0.055),0,25,5,Negative Binomial
RANK T-test,0,0,5,1.5,Negative Binomial
RANK T-test,0,0,15,1.5,Negative Binomial
RANK T-test,0,0,25,1.5,Negative Binomial
RANK T-test,0 +/- (0.002),0,50,1.5,Negative Binomial
RANK T-test,0.001 +/- (0.004),0,100,1.5,Negative Binomial
RANK T-test,0.009 +/- (0.025),0,150,1.5,Negative Binomial
RANK T-test,0,0,5,1.5,Beta-Binomial
RANK T-test,0,0,15,1.5,Beta-Binomial
RANK T-test,0,0,25,1.5,Beta-Binomial
RANK T-test,0,0,50,1.5,Beta-Binomial
RANK T-test,0,0,100,1.5,Beta-Binomial
RANK T-test,0 +/- (0.002),0,150,1.5,Beta-Binomial
RLE DESeq2,0.352 +/- (0.033),0.534 +/- (0.064),50,3,Negative Binomial
RLE DESeq2,0.459 +/- (0.057),0.553 +/- (0.107),50,5,Negative Binomial
RLE DESeq2,0.459 +/- (0.048),0.615 +/- (0.068),100,3,Negative Binomial
RLE DESeq2,0.629 +/- (0.046),0.655 +/- (0.06),100,5,Negative Binomial
RLE DESeq2,0.549 +/- (0.053),0.679 +/- (0.047),150,3,Negative Binomial
RLE DESeq2,0.719 +/- (0.051),0.697 +/- (0.033),150,5,Negative Binomial
RLE DESeq2,0.068 +/- (0.026),0.155 +/- (0.172),50,3,Beta-Binomial
RLE DESeq2,0.15 +/- (0.035),0.178 +/- (0.107),50,5,Beta-Binomial
RLE DESeq2,0.139 +/- (0.036),0.256 +/- (0.118),100,3,Beta-Binomial
RLE DESeq2,0.272 +/- (0.054),0.247 +/- (0.128),100,5,Beta-Binomial
RLE DESeq2,0.189 +/- (0.047),0.273 +/- (0.12),150,3,Beta-Binomial
RLE DESeq2,0.382 +/- (0.054),0.309 +/- (0.097),150,5,Beta-Binomial
RLE DESeq2,0.012 +/- (0.013),0.505 +/- (0.411),5,3,Beta-Binomial
